UGC Factory — Roadmap Mise en Production,,,,,,,
Projet vibe-codé par Lucas (Brand Content) via Claude Code — Pilotage : Abdel,,,,,,,
,,,,,,,
#,Tâche,Responsable,Début,Fin,Durée (j),Statut,Notes / Dépendances
PHASE 1 — AUDIT & RÉCUPÉRATION CODE (✅ Réalisé),,,,,,,
1,Récupérer et analyser le code source,Thomas / Lucas,14/04/2026,14/04/2026,0.5,✅ Réalisé,Fait en session Claude le 14/04
2,Scanner dépendances (npm audit),Thomas,14/04/2026,14/04/2026,0.5,✅ Réalisé,Vulnérabilité multer notée — à corriger avant prod
3,Audit qualité code / secrets / clés API,Thomas,14/04/2026,14/04/2026,0.5,✅ Réalisé,Secret JWT fallback identifié et documenté
4,Documenter la stack technique,Thomas,14/04/2026,14/04/2026,0.5,✅ Réalisé,ETAT_DES_LIEUX.md produit
PHASE 2 — SÉCURITÉ (✅ Majoritairement réalisé),,,,,,,
5,Audit authentification / accès,Thomas,14/04/2026,14/04/2026,0.5,✅ Réalisé,Rôles ADMIN/MEDIA cloisonnés côté serveur
6,"Validation inputs (upload, formulaires)",Thomas,14/04/2026,14/04/2026,0.5,✅ Réalisé,Point d'amélioration noté sur validation MIME
7,"Headers HTTP (HSTS, X-Frame-Options)",Thomas,14/04/2026,14/04/2026,0.5,✅ Réalisé,En place. CSP manquant — à ajouter
8,Rate limiting / anti-abus,Thomas,14/04/2026,14/04/2026,0.5,✅ Réalisé,En place sur login et upload
9,Pagination et indexes base de données,Thomas,14/04/2026,14/04/2026,0.5,✅ Réalisé,Optimisations réalisées en session Claude
10,Ajouter header CSP,Thomas,15/04/2026,15/04/2026,0.5,À faire,
11,Validation MIME réelle des fichiers uploadés,Thomas,15/04/2026,15/04/2026,0.5,À faire,Vérifier contenu réel du fichier (magic bytes)
12,Conformité RGPD opérationnelle,Abdel / Juridique,15/04/2026,22/04/2026,5,À faire,Rétention données + droit à l'oubli
PHASE 3 — DÉPÔT GITHUB,,,,,,,
13,Repo créé (ThomasCatt/ogc_factory),Thomas,14/04/2026,14/04/2026,0.5,✅ Réalisé,
14,Push code initial sur nouveau repo,Thomas,15/04/2026,15/04/2026,0.5,À faire,Problème accès credentials à résoudre
15,"Configurer branches (main protégée, develop)",Thomas / Abdel,15/04/2026,15/04/2026,0.5,À faire,
16,Ajouter collaborateurs (Lucas + Abdel),Thomas,15/04/2026,15/04/2026,0.5,À faire,
PHASE 4 — DÉCISION INFRASTRUCTURE (IT),,,,,,,
17,Consultation IT — contrats Azure existants,IT / Abdel,15/04/2026,16/04/2026,1,À faire,Détermine le choix stockage et l'hébergement
18,Décision stockage fichiers (Azure / S3 / Scaleway),IT / Abdel,16/04/2026,17/04/2026,1,À faire,Dépend du point 17
19,Choix hébergement serveur,IT / Abdel,16/04/2026,17/04/2026,1,À faire,VPS ou infrastructure Orchestra existante
20,Chiffrage coûts infrastructure mensuels,Abdel / IT,17/04/2026,18/04/2026,1,À faire,Pour présentation Val
PHASE 5 — DÉPLOIEMENT INFRASTRUCTURE,,,,,,,
